src_id,direction,geom_points,os_speed
osgb4000000025926578,1,"((-3.3632148401325943, 50.643278180523218), (-3.3630986092787944, 50.643171621288921))",37.5
osgb4000000025926578,-1,"((-3.3633837835961873, 50.64309390326985), (-3.3632675527423874, 50.642987344035554))",37.5
osgb4000000025927829,-1,"((-3.3527325043327267, 50.634761784908633), (-3.3528751558164664, 50.634805094639638))",37.5
osgb4000000025927829,1,"((-3.3528051321287351, 50.63452256700954), (-3.3529477836124748, 50.634565876740545))",37.5
osgb4000000025927849,-1,"((-3.3673087020770702, 50.64612927495812), (-3.3671549092791002, 50.646000074676721))",37.5
osgb4000000025927849,1,"((-3.3671478935977204, 50.646320692389324), (-3.3669941007997504, 50.646191492107924))",37.5
osgb4000000025930055,-1,"((-3.3731324252898189, 50.649428535877306), (-3.3729478135952791, 50.6494037318501))",37.5
osgb4000000025930055,1,"((-3.3730991349665467, 50.649676309472298), (-3.3729145232720068, 50.649651505445092))",37.5
osgb4000000025973686,-1,"((-3.3837468747050288, 50.651275751109686), (-3.3836456939604886, 50.651190689185285))",37.5
osgb4000000025973686,1,"((-3.3835859989664567, 50.651467112016718), (-3.3834848182219166, 50.651382050092316))",37.5
